Wall time,Step,Value
1534893533.8391283,4,1.0
1534893562.4685013,6,0.0
1534893614.294386,9,0.0
1534893741.4762304,18,0.0
1534893768.8979962,20,0.0
1534893796.3377056,22,1.0
1534893830.4214687,25,0.0
1534893869.0709636,28,0.0
1534893889.463854,30,0.0
1534894011.5178754,39,0.0
1534894052.5200908,42,0.0
1534894066.1422727,43,0.0
1534894113.8816118,47,0.0
1534894181.0768352,52,0.0
1534894207.153083,54,0.0
1534894218.480638,55,0.0
1534894243.5608377,57,0.0
1534894253.6996894,58,0.0
1534894288.0995092,60,0.0
1534894443.374167,71,0.0
1534894581.07244,82,0.0
1534894599.5485165,83,0.0
1534894609.707714,84,0.0
1534894660.7044475,88,0.0
1534894700.549297,91,1.0
1534894716.6673608,92,0.0
1534894798.5179837,99,0.0
1534894834.9640453,102,0.0
1534894882.80107,106,0.0
1534894895.2605324,107,1.0
1534894907.8324997,108,1.0
1534895006.01619,115,1.0
1534895033.3258002,117,0.0
1534895177.3872583,127,0.0
1534895209.0327158,130,0.0
1534895258.2425544,133,1.0
1534895273.120718,134,0.0
1534895369.854312,141,0.0
1534895399.546778,143,0.0
1534895662.2670445,160,0.0
1534895672.4235718,161,0.0
1534895686.1619792,162,0.0
1534895804.9717717,171,0.0
1534895858.4504733,175,0.0
1534895867.3246694,176,0.0
1534895953.0237203,182,0.0
1534895989.282894,185,0.0
1534896003.0744555,186,0.0
1534896036.9844396,189,0.0
1534896115.9727476,194,1.0
1534896126.14728,195,0.0
1534896211.9577222,201,1.0
1534896225.6917365,202,0.0
1534896292.6788702,208,1.0
1534896336.1702626,211,0.0
1534896398.795748,216,0.0
1534896457.095989,220,0.0
1534896470.786749,221,0.0
1534896514.191416,224,0.0
1534896525.612971,225,0.0
1534896569.1850228,228,0.0
1534896593.0449975,230,0.0
1534896676.4836059,236,1.0
1534896691.402326,237,0.0
1534896709.8274477,238,0.0
1534896722.3412395,239,1.0
1534896767.7492273,243,0.0
1534896816.0153549,246,0.0
1534896844.688844,248,0.0
1534897048.774464,261,0.0
1534897074.9836614,263,0.0
1534897107.1212287,265,0.0
1534897263.7714493,276,1.0
1534897285.2522688,278,0.0
1534897295.4801223,279,0.0
1534897325.3218539,281,0.0
1534897341.469746,282,0.0
1534897384.3917413,286,1.0
1534897429.0015624,289,0.0
1534897486.2653542,293,0.0
1534897564.244182,298,0.0
1534897585.8446083,300,1.0
1534897604.147294,301,0.0
1534897637.4830606,303,0.0
1534897737.586143,311,0.0
1534897759.0272992,313,1.0
1534897772.6834688,314,0.0
1534897786.3695288,315,0.0
1534897811.4954588,317,0.0
1534897969.9397795,329,0.0
1534897998.5883272,331,0.0
1534898008.750555,332,0.0
1534898046.3899577,335,0.0
1534898061.1920524,336,0.0
1534898094.0640154,339,1.0
1534898106.5234292,340,1.0
1534898116.6990683,341,0.0
1534898125.662349,342,0.0
1534898158.520099,345,0.0
1534898176.8892772,346,0.0
1534898201.9022138,348,0.0
1534898216.813961,349,0.0
1534898250.0483706,351,0.0
1534898329.7889798,357,0.0
1534898347.052355,358,0.0
1534898381.5435994,360,0.0
1534898397.5832162,361,0.0
1534898428.605564,363,0.0
1534898461.908538,365,0.0
1534898493.9774334,367,0.0
1534898504.0986433,368,0.0
1534898521.318226,369,0.0
1534898530.2631347,370,0.0
1534898564.8336399,372,0.0
1534898610.2282789,376,0.0
1534898665.108651,380,0.0
1534898681.177373,381,0.0
1534898714.5310507,383,0.0
1534898725.9052205,384,0.0
1534898739.5726864,385,0.0
1534898750.9205356,386,0.0
1534898769.3750625,387,0.0
1534898901.0860178,398,1.0
1534898938.6600437,401,0.0
1534898949.9977088,402,0.0
1534898961.3522573,403,0.0
1534898991.0070257,405,0.0
1534899059.5092494,410,0.0
1534899077.4360793,412,0.0
1534899126.4074283,416,0.0
1534899174.6205354,419,0.0
1534899266.2071111,425,0.0
1534899279.9393213,426,0.0
1534899293.6782274,427,0.0
1534899327.781281,430,0.0
1534899352.8877802,432,0.0
1534899380.2210732,434,1.0
1534899397.421174,435,0.0
1534899445.3870142,439,0.0
1534899463.2844956,441,0.0
1534899510.1601572,444,0.0
1534899525.1120753,445,0.0
1534899553.8764355,447,1.0
1534899565.1617408,448,0.0
1534899631.3236263,453,0.0
1534899672.5102534,456,0.0
1534899681.4736164,457,0.0
1534899737.3931766,461,1.0
1534899794.1592019,466,0.0
1534899806.6661868,467,1.0
1534899887.255003,472,0.0
