Wall time,Step,Value
1535245960.5968003,4,0.0
1535246002.774758,6,0.0
1535246074.651917,9,0.0
1535246099.8718925,10,0.0
1535246163.1846192,13,0.0
1535246258.813285,18,0.0
1535246299.8456297,20,0.0
1535246346.0276148,22,0.0
1535246405.4221203,25,0.0
1535246429.5879278,26,0.0
1535246471.2746875,28,0.0
1535246506.6936955,30,1.0
1535246609.9512079,35,0.0
1535246626.8687096,36,0.0
1535246649.3606684,37,0.0
1535246666.31554,38,0.0
1535246682.367146,39,0.0
1535246725.1984556,41,1.0
1535246745.5223486,42,0.0
1535246770.9017262,43,0.0
1535246830.3976154,46,0.0
1535246851.2561212,47,0.0
1535246897.4599595,49,0.0
1535246914.377753,50,0.0
1535246951.5561376,52,0.0
1535246991.1324286,54,0.0
1535247011.8647954,55,0.0
1535247055.283805,57,1.0
1535247073.693315,58,1.0
1535247096.734292,59,0.0
1535247116.2740388,60,0.0
1535247341.2830942,71,0.0
1535247363.9333763,72,0.0
1535247406.8692997,74,0.0
1535247492.654274,78,0.0
1535247576.0655873,82,0.0
1535247599.825426,83,0.0
1535247620.110584,84,0.0
1535247711.0775416,88,0.0
1535247777.5198157,91,0.0
1535247798.3218284,92,0.0
1535247887.5943797,96,0.0
1535247948.8445277,99,0.0
1535248016.9056127,102,0.0
1535248036.0970552,103,0.0
1535248104.2683833,106,0.0
1535248121.1176815,107,0.0
1535248145.2975788,108,0.0
1535248166.7018318,109,0.0
1535248286.512262,115,0.0
1535248325.256098,117,0.0
1535248463.0358098,123,0.0
1535248478.7271135,124,0.0
1535248494.4166596,125,0.0
1535248542.1258934,127,0.0
1535248607.6218874,130,0.0
1535248669.43513,133,0.0
1535248693.0927835,134,0.0
1535248728.5571303,136,0.0
1535248794.4106953,139,0.0
1535248814.7016802,140,0.0
1535248834.92631,141,0.0
1535248866.6869164,143,0.0
1535248949.947459,147,0.0
1535248972.5848868,148,0.0
1535249138.2424436,156,1.0
1535249215.6915412,160,1.0
1535249234.9307373,161,0.0
1535249250.9966242,162,0.0
1535249353.0541372,167,0.0
1535249371.5251327,168,1.0
1535249436.220758,171,0.0
1535249512.401145,175,0.0
1535249528.4635992,176,0.0
1535249547.5678463,177,0.0
1535249626.9482949,181,0.0
1535249651.7726858,182,0.0
1535249676.0775893,183,0.0
1535249711.73613,185,0.0
1535249727.5382416,186,0.0
1535249749.433344,187,0.0
1535249772.523985,188,0.0
1535249793.9932854,189,0.0
1535249813.5402043,190,0.0
1535249886.0245163,193,0.0
1535249905.6170733,194,0.0
1535249927.4480934,195,0.0
1535250006.708936,199,1.0
1535250025.8777528,200,0.0
1535250047.2727714,201,0.0
1535250066.8190014,202,0.0
1535250125.8833637,205,0.0
1535250141.9341526,206,0.0
1535250184.6940916,208,0.0
1535250249.8798902,211,0.0
1535250269.488646,212,0.0
1535250352.666647,216,0.0
1535250413.908516,219,0.0
1535250432.0014327,220,1.0
1535250453.8816898,221,0.0
1535250479.1300595,222,0.0
1535250500.9311957,223,0.0
1535250518.2178345,224,0.0
1535250540.0979066,225,0.0
1535250613.3558881,228,0.0
1535250657.3284326,230,0.0
1535250673.320545,231,0.0
1535250723.871418,234,0.0
1535250762.9905345,236,0.0
1535250787.7569184,237,0.0
1535250804.6440558,238,0.0
1535250827.7744055,239,0.0
1535250894.9731917,242,0.0
1535250914.5466998,243,0.0
1535250966.6374116,246,1.0
1535251005.298369,248,1.0
1535251082.5314128,252,0.0
1535251117.9020689,254,0.0
1535251266.0981002,261,0.0
1535251301.4845932,263,0.0
1535251342.4442134,265,0.0
1535251562.628421,275,0.0
1535251583.241003,276,0.0
1535251620.7407792,278,0.0
1535251645.4491427,279,0.0
1535251678.1212192,281,0.0
1535251699.9374728,282,0.0
1535251755.6373265,285,1.0
1535251774.7874646,286,0.0
1535251817.2210908,288,0.0
1535251836.7312355,289,0.0
1535251891.3583016,292,0.0
