Wall time,Step,Value
1535245960.5967004,4,0.0
1535246002.7746594,6,0.0
1535246074.6518178,9,0.0
1535246099.8717914,10,0.0
1535246163.1845188,13,0.0
1535246258.8131847,18,0.0
1535246299.8455079,20,0.0
1535246346.0275166,22,0.0
1535246405.4220207,25,0.0
1535246429.5878298,26,0.0
1535246471.2745848,28,0.0
1535246506.6935658,30,0.0
1535246609.9511104,35,0.0
1535246626.868615,36,0.0
1535246649.3605726,37,0.0
1535246666.3154383,38,0.0
1535246682.3670506,39,1.0
1535246725.1983576,41,0.0
1535246745.522248,42,0.0
1535246770.9015977,43,0.0
1535246830.3975155,46,0.0
1535246851.2560205,47,0.0
1535246897.4598625,49,0.0
1535246914.3776102,50,0.0
1535246951.5560439,52,0.0
1535246991.1323318,54,0.0
1535247011.8646991,55,0.0
1535247055.2837088,57,0.0
1535247073.6932182,58,0.0
1535247096.7341936,59,0.0
1535247116.2739468,60,0.0
1535247341.2830012,71,0.0
1535247363.9332824,72,0.0
1535247406.8692062,74,0.0
1535247492.654177,78,0.0
1535247576.065494,82,0.0
1535247599.8253336,83,0.0
1535247620.1104913,84,0.0
1535247711.077448,88,0.0
1535247777.5197182,91,0.0
1535247798.3217316,92,0.0
1535247887.5942879,96,0.0
1535247948.8444304,99,0.0
1535248016.905521,102,0.0
1535248036.0969608,103,0.0
1535248104.268291,106,0.0
1535248121.1175587,107,0.0
1535248145.2974856,108,0.0
1535248166.7016149,109,0.0
1535248286.5121675,115,0.0
1535248325.2560067,117,0.0
1535248463.0357175,123,0.0
1535248478.727021,124,1.0
1535248494.4165676,125,1.0
1535248542.125795,127,0.0
1535248607.6217935,130,0.0
1535248669.4350367,133,0.0
1535248693.0926874,134,0.0
1535248728.557033,136,0.0
1535248794.4106007,139,0.0
1535248814.7015471,140,0.0
1535248834.9262125,141,0.0
1535248866.6868238,143,1.0
1535248949.9473646,147,0.0
1535248972.5847888,148,0.0
1535249138.2423472,156,0.0
1535249215.6914496,160,0.0
1535249234.930639,161,0.0
1535249250.9965277,162,1.0
1535249353.0540378,167,0.0
1535249371.5250363,168,0.0
1535249436.22066,171,0.0
1535249512.4010472,175,0.0
1535249528.4635065,176,1.0
1535249547.5677552,177,0.0
1535249626.9482026,181,0.0
1535249651.77259,182,0.0
1535249676.0774922,183,0.0
1535249711.7360377,185,1.0
1535249727.53814,186,1.0
1535249749.4332466,187,0.0
1535249772.5238888,188,0.0
1535249793.9931898,189,0.0
1535249813.5401103,190,0.0
1535249886.024421,193,0.0
1535249905.6169765,194,0.0
1535249927.4479954,195,0.0
1535250006.7087598,199,0.0
1535250025.8776517,200,0.0
1535250047.2726736,201,0.0
1535250066.8189068,202,0.0
1535250125.8832412,205,0.0
1535250141.9340563,206,1.0
1535250184.693994,208,0.0
1535250249.8797913,211,0.0
1535250269.488552,212,0.0
1535250352.6665545,216,0.0
1535250413.9084215,219,0.0
1535250432.0013354,220,0.0
1535250453.8815641,221,0.0
1535250479.1299624,222,0.0
1535250500.9310963,223,0.0
1535250518.2177367,224,0.0
1535250540.097808,225,0.0
1535250613.3557956,228,0.0
1535250657.3283355,230,0.0
1535250673.320448,231,1.0
1535250723.8713205,234,0.0
1535250762.9904397,236,0.0
1535250787.756826,237,0.0
1535250804.6439588,238,0.0
1535250827.7743108,239,0.0
1535250894.9730945,242,0.0
1535250914.5466027,243,0.0
1535250966.6373188,246,0.0
1535251005.2982752,248,0.0
1535251082.5313199,252,0.0
1535251117.901977,254,0.0
1535251266.098008,261,0.0
1535251301.4844956,263,0.0
1535251342.4441168,265,0.0
1535251562.6283233,275,0.0
1535251583.240904,276,0.0
1535251620.7406843,278,0.0
1535251645.449051,279,0.0
1535251678.1211202,281,1.0
1535251699.9373763,282,0.0
1535251755.6372335,285,0.0
1535251774.7873666,286,0.0
1535251817.2209926,288,0.0
1535251836.7311432,289,0.0
1535251891.3582077,292,0.0
1535251916.0388172,293,0.0
1535251940.7926202,294,0.0
1535251961.0361571,295,0.0
1535251982.8507545,296,0.0
1535252005.4044898,297,0.0
1535252029.0978909,298,0.0
1535252053.9547904,299,0.0
1535252073.1165242,300,0.0
1535252094.933743,301,0.0
1535252133.4565904,303,0.0
1535252172.3678823,305,0.0
1535252289.2176087,311,0.0
1535252324.0383291,313,0.0
1535252346.5039184,314,0.0
1535252364.8764062,315,0.0
1535252400.0941224,317,0.0
1535252455.9993582,320,0.0
1535252518.2342744,323,0.0
1535252578.7329628,326,0.0
1535252639.922395,329,0.0
1535252686.0695024,331,0.0
1535252706.7754939,332,0.0
1535252757.8569744,335,0.0
1535252774.7740767,336,0.0
1535252840.9599125,339,0.0
1535252861.2575512,340,0.0
1535252881.5936694,341,0.0
1535252897.6247878,342,1.0
1535252921.6848958,343,0.0
1535252945.857029,344,0.0
1535252967.6768503,345,0.0
1535252991.9029706,346,0.0
1535253035.3282485,348,0.0
1535253058.386336,349,0.0
1535253095.797157,351,0.0
1535253183.6038814,355,0.0
1535253226.5614724,357,0.0
1535253249.566367,358,0.0
1535253287.1083846,360,0.0
1535253308.5169666,361,0.0
1535253346.0465848,363,0.0
1535253382.7868109,365,1.0
1535253425.5274136,367,0.0
1535253444.6970837,368,0.0
1535253465.3868465,369,0.0
1535253481.1463737,370,1.0
1535253522.1803422,372,1.0
1535253602.461758,376,0.0
1535253684.3370438,380,1.0
1535253706.1501296,381,0.0
1535253752.9484935,383,0.0
1535253777.0630057,384,0.0
1535253799.5266316,385,0.0
1535253823.617759,386,0.0
1535253843.175397,387,0.0
1535253865.749149,388,0.0
1535253956.4147713,393,1.0
1535254005.398227,395,0.0
1535254080.4358306,398,0.0
1535254097.3760195,399,0.0
1535254136.0196385,401,1.0
1535254157.385232,402,0.0
1535254173.105806,403,1.0
1535254215.6431825,405,0.0
1535254237.1876972,406,0.0
1535254261.983868,407,0.0
1535254328.1813555,410,0.0
1535254377.5674329,412,0.0
1535254450.3304005,416,0.0
1535254471.7523234,417,0.0
1535254511.5867689,419,0.0
1535254594.390416,423,0.0
1535254639.3565862,425,0.0
1535254657.733361,426,0.0
1535254677.2647347,427,0.0
1535254734.5238802,430,0.0
1535254783.9503424,432,0.0
1535254824.1457965,434,1.0
1535254839.903327,435,1.0
1535254861.233795,436,0.0
1535254886.054204,437,0.0
1535254923.3025131,439,0.0
1535254966.8356068,441,0.0
1535255034.4419458,444,0.0
1535255054.7713916,445,0.0
1535255092.3015046,447,0.0
1535255108.0961313,448,1.0
1535255150.2698948,450,0.0
1535255208.8793795,453,0.0
1535255240.6633086,455,1.0
1535255256.452527,456,1.0
1535255276.0377872,457,0.0
1535255294.4272823,458,0.0
1535255357.8253777,461,0.0
1535255456.037982,466,0.0
1535255472.94943,467,0.0
1535255493.2274134,468,0.0
1535255581.345936,472,0.0
1535255599.2984369,473,0.0
1535255615.3188634,474,1.0
1535255673.8651056,477,0.0
1535255692.2472467,478,0.0
1535255713.665209,479,0.0
