Wall time,Step,Value
1535245960.5967517,4,0.0
1535246002.7747097,6,0.0
1535246074.6518676,9,0.0
1535246099.8718426,10,0.0
1535246163.1845694,13,0.0
1535246258.8132348,18,1.0
1535246299.8455558,20,0.0
1535246346.027567,22,0.0
1535246405.4220712,25,0.0
1535246429.58788,26,0.0
1535246471.2746365,28,1.0
1535246506.6936173,30,0.0
1535246609.95116,35,0.0
1535246626.868663,36,1.0
1535246649.360621,37,0.0
1535246666.31549,38,1.0
1535246682.3670986,39,0.0
1535246725.1984072,41,0.0
1535246745.5222983,42,0.0
1535246770.901673,43,0.0
1535246830.3975651,46,1.0
1535246851.256071,47,0.0
1535246897.4599118,49,0.0
1535246914.3777025,50,1.0
1535246951.5560908,52,0.0
1535246991.1323807,54,1.0
1535247011.8647475,55,0.0
1535247055.283758,57,0.0
1535247073.6932673,58,0.0
1535247096.7342432,59,0.0
1535247116.2739933,60,0.0
1535247341.2830482,71,0.0
1535247363.9333298,72,0.0
1535247406.869254,74,0.0
1535247492.6542258,78,1.0
1535247576.0655413,82,0.0
1535247599.82538,83,0.0
1535247620.110538,84,0.0
1535247711.0774953,88,0.0
1535247777.5197673,91,0.0
1535247798.3217812,92,0.0
1535247887.5943336,96,0.0
1535247948.8444793,99,1.0
1535248016.9055674,102,0.0
1535248036.0970087,103,0.0
1535248104.2683375,106,0.0
1535248121.1176078,107,1.0
1535248145.2975323,108,0.0
1535248166.7017386,109,0.0
1535248286.5122154,115,0.0
1535248325.256053,117,0.0
1535248463.0357642,123,0.0
1535248478.7270675,124,0.0
1535248494.4166143,125,0.0
1535248542.125845,127,0.0
1535248607.6218412,130,0.0
1535248669.4350836,133,0.0
1535248693.092736,134,0.0
1535248728.5570822,136,0.0
1535248794.4106483,139,0.0
1535248814.7015953,140,0.0
1535248834.926262,141,0.0
1535248866.6868708,143,0.0
1535248949.9474125,147,0.0
1535248972.5848384,148,0.0
1535249138.2423959,156,0.0
1535249215.6914964,160,0.0
1535249234.9306889,161,0.0
1535249250.996576,162,0.0
1535249353.0540876,167,0.0
1535249371.525085,168,0.0
1535249436.220709,171,0.0
1535249512.4010968,175,0.0
1535249528.463553,176,0.0
1535249547.5678008,177,0.0
1535249626.9482493,181,0.0
1535249651.7726386,182,0.0
1535249676.0775414,183,0.0
1535249711.7360847,185,0.0
1535249727.5381923,186,0.0
1535249749.4332964,187,0.0
1535249772.5239377,188,0.0
1535249793.993239,189,0.0
1535249813.5401583,190,0.0
1535249886.0244682,193,0.0
1535249905.6170259,194,0.0
1535249927.448045,195,0.0
1535250006.7088504,199,0.0
1535250025.877706,200,0.0
1535250047.2727227,201,0.0
1535250066.8189538,202,0.0
1535250125.88329,205,0.0
1535250141.9341056,206,0.0
1535250184.6940436,208,0.0
1535250249.8798413,211,0.0
1535250269.4886003,212,0.0
1535250352.6666014,216,0.0
1535250413.9084697,219,0.0
1535250432.0013847,220,0.0
1535250453.881614,221,0.0
1535250479.1300116,222,0.0
1535250500.931147,223,0.0
1535250518.2177866,224,1.0
1535250540.0978582,225,0.0
1535250613.3558428,228,0.0
1535250657.328385,230,0.0
1535250673.3204978,231,0.0
1535250723.8713703,234,1.0
1535250762.9904883,236,0.0
1535250787.7568724,237,0.0
1535250804.6440077,238,1.0
1535250827.7743587,239,0.0
1535250894.9731436,242,0.0
1535250914.5466518,243,0.0
1535250966.6373653,246,0.0
1535251005.2983224,248,0.0
1535251082.5313668,252,0.0
1535251117.9020233,254,1.0
1535251266.098055,261,0.0
1535251301.4845452,263,1.0
1535251342.4441655,265,0.0
1535251562.6283727,275,0.0
1535251583.2409544,276,0.0
1535251620.7407327,278,1.0
1535251645.449097,279,0.0
1535251678.1211696,281,0.0
1535251699.9374247,282,0.0
1535251755.6372805,285,0.0
1535251774.7874162,286,0.0
1535251817.2210422,288,0.0
1535251836.7311897,289,0.0
1535251891.3582551,292,1.0
1535251916.0388646,293,0.0
1535251940.7926683,294,0.0
1535251961.0362062,295,0.0
1535251982.850802,296,0.0
1535252005.4045367,297,0.0
1535252029.097937,298,0.0
1535252053.9548364,299,0.0
1535252073.1165721,300,0.0
1535252094.9337938,301,0.0
1535252133.4566395,303,0.0
1535252172.3679316,305,1.0
1535252289.217681,311,0.0
1535252324.038377,313,0.0
1535252346.5039673,314,0.0
1535252364.8764548,315,0.0
1535252400.0941722,317,0.0
1535252455.9994056,320,0.0
1535252518.2343216,323,0.0
1535252578.7330122,326,1.0
1535252639.9224427,329,0.0
1535252686.0695522,331,0.0
1535252706.7755787,332,0.0
1535252757.8570213,335,1.0
1535252774.7741225,336,1.0
1535252840.95996,339,0.0
1535252861.2575977,340,0.0
1535252881.5937216,341,0.0
1535252897.624837,342,0.0
1535252921.6849453,343,0.0
1535252945.8570774,344,0.0
1535252967.6769,345,0.0
1535252991.9030209,346,0.0
1535253035.328297,348,0.0
1535253058.3863838,349,0.0
1535253095.797207,351,0.0
1535253183.6039283,355,1.0
1535253226.5615208,357,0.0
1535253249.566414,358,0.0
1535253287.1084335,360,0.0
1535253308.5170152,361,0.0
1535253346.0466342,363,0.0
1535253382.7868586,365,0.0
1535253425.5274603,367,0.0
1535253444.6971343,368,0.0
1535253465.3868935,369,0.0
1535253481.1464229,370,0.0
1535253522.1803925,372,0.0
1535253602.4618046,376,0.0
1535253684.3370926,380,0.0
1535253706.1501772,381,0.0
1535253752.9485428,383,0.0
1535253777.0630534,384,0.0
1535253799.5266802,385,0.0
1535253823.6178076,386,0.0
1535253843.1754434,387,0.0
1535253865.7491977,388,0.0
1535253956.414821,393,0.0
1535254005.3982735,395,0.0
1535254080.4358773,398,0.0
1535254097.3760674,399,1.0
1535254136.0196862,401,0.0
1535254157.385279,402,0.0
1535254173.1058562,403,0.0
1535254215.6432292,405,0.0
1535254237.187744,406,0.0
1535254261.9839158,407,0.0
1535254328.1814032,410,0.0
1535254377.5674794,412,0.0
1535254450.3304474,416,0.0
1535254471.7523735,417,0.0
1535254511.586815,419,0.0
1535254594.3904629,423,0.0
1535254639.3566358,425,0.0
1535254657.7334108,426,0.0
1535254677.2647824,427,0.0
1535254734.5239294,430,0.0
1535254783.950391,432,0.0
1535254824.145844,434,0.0
1535254839.9033747,435,0.0
1535254861.2338424,436,0.0
1535254886.0542529,437,0.0
1535254923.3025627,439,0.0
1535254966.8356543,441,0.0
1535255034.4419928,444,0.0
1535255054.771439,445,0.0
1535255092.3015504,447,0.0
1535255108.0961776,448,0.0
1535255150.2699447,450,0.0
1535255208.8794262,453,0.0
1535255240.6633556,455,0.0
1535255256.4525743,456,0.0
1535255276.037836,457,0.0
1535255294.4273298,458,0.0
1535255357.8254266,461,0.0
1535255456.0380301,466,1.0
1535255472.9494777,467,1.0
1535255493.2274635,468,0.0
1535255581.3459837,472,0.0
1535255599.298486,473,0.0
1535255615.3189104,474,0.0
1535255673.865155,477,0.0
1535255692.2473044,478,0.0
1535255713.6652577,479,0.0
1535255768.413996,482,0.0
1535255793.1424727,483,0.0
1535255808.9022753,484,0.0
1535255871.078147,487,0.0
1535255889.098655,488,0.0
1535255907.456144,489,0.0
1535255942.623674,491,0.0
1535255978.320807,493,1.0
1535256001.3205633,494,0.0
1535256064.217568,497,0.0
1535256105.3439586,499,1.0
1535256123.4138763,500,0.0
1535256140.6258056,501,1.0
1535256208.3939102,504,0.0
