Wall time,Step,Value
1534893533.8386314,4,0.0
1534893562.4681387,6,0.0
1534893614.2939506,9,0.0
1534893741.4758615,18,1.0
1534893768.8975587,20,0.0
1534893796.3372333,22,0.0
1534893830.4210596,25,0.0
1534893869.0705502,28,0.0
1534893889.4634318,30,0.0
1534894011.5175185,39,0.0
1534894052.5196908,42,0.0
1534894066.1418378,43,0.0
1534894113.881176,47,0.0
1534894181.076474,52,0.0
1534894207.1527228,54,0.0
1534894218.4802804,55,0.0
1534894243.5604403,57,0.0
1534894253.6992698,58,1.0
1534894288.0991044,60,0.0
1534894443.3737695,71,0.0
1534894581.0720837,82,1.0
1534894599.5481079,83,0.0
1534894609.7069435,84,1.0
1534894660.7039745,88,0.0
1534894700.5488722,91,0.0
1534894716.6670015,92,0.0
1534894798.5175552,99,0.0
1534894834.9636827,102,0.0
1534894882.8007133,106,0.0
1534894895.2601242,107,0.0
1534894907.8321023,108,0.0
1534895006.015829,115,0.0
1534895033.3253996,117,0.0
1534895177.3868473,127,0.0
1534895209.0323129,130,0.0
1534895258.2421944,133,0.0
1534895273.1203003,134,0.0
1534895369.8539164,141,0.0
1534895399.5463786,143,0.0
1534895662.2665844,160,0.0
1534895672.4231596,161,1.0
1534895686.1615915,162,0.0
1534895804.971367,171,0.0
1534895858.4500933,175,0.0
1534895867.324313,176,0.0
1534895953.0233607,182,0.0
1534895989.282515,185,0.0
1534896003.0740447,186,0.0
1534896036.9840305,189,0.0
1534896115.972353,194,0.0
1534896126.1468916,195,1.0
1534896211.957316,201,0.0
1534896225.6913216,202,0.0
1534896292.678443,208,0.0
1534896336.169865,211,0.0
1534896398.7953598,216,1.0
1534896457.0955818,220,0.0
1534896470.7863173,221,0.0
1534896514.1910055,224,0.0
1534896525.6125734,225,0.0
1534896569.1846614,228,0.0
1534896593.044629,230,0.0
1534896676.483201,236,0.0
1534896691.4019272,237,0.0
1534896709.8270824,238,0.0
1534896722.340876,239,0.0
1534896767.748825,243,0.0
1534896816.014988,246,0.0
1534896844.6884375,248,1.0
1534897048.774093,261,0.0
1534897074.983257,263,0.0
1534897107.12081,265,0.0
1534897263.7710414,276,0.0
1534897285.2518613,278,0.0
1534897295.4796424,279,1.0
1534897325.3214853,281,0.0
1534897341.469383,282,0.0
1534897384.3913758,286,0.0
1534897429.0011551,289,1.0
1534897486.2649443,293,0.0
1534897564.243758,298,0.0
1534897585.8442388,300,0.0
1534897604.1469276,301,0.0
1534897637.482651,303,0.0
1534897737.5856984,311,0.0
1534897759.0268664,313,0.0
1534897772.68307,314,0.0
1534897786.3691185,315,0.0
1534897811.4950871,317,0.0
1534897969.939378,329,1.0
1534897998.5879364,331,1.0
1534898008.7501514,332,1.0
1534898046.389589,335,1.0
1534898061.1916373,336,0.0
1534898094.0636542,339,0.0
1534898106.5230641,340,0.0
1534898116.6983943,341,1.0
1534898125.6618922,342,0.0
1534898158.5197363,345,1.0
1534898176.888866,346,0.0
1534898201.9018016,348,0.0
1534898216.8135953,349,0.0
1534898250.0480173,351,0.0
1534898329.788575,357,0.0
1534898347.0519168,358,0.0
1534898381.5431902,360,0.0
1534898397.5827532,361,0.0
1534898428.6051981,363,0.0
1534898461.9080446,365,0.0
1534898493.9770665,367,0.0
1534898504.0982282,368,1.0
1534898521.3177397,369,0.0
1534898530.2627497,370,0.0
1534898564.8332748,372,0.0
1534898610.22787,376,1.0
1534898665.1082854,380,0.0
1534898681.1770098,381,0.0
1534898714.530689,383,0.0
1534898725.904829,384,0.0
1534898739.5723267,385,0.0
1534898750.920127,386,0.0
1534898769.3746593,387,0.0
1534898901.0856097,398,0.0
1534898938.6596797,401,0.0
1534898949.997338,402,0.0
1534898961.3518546,403,0.0
1534898991.0066595,405,0.0
1534899059.5088432,410,0.0
1534899077.4356678,412,0.0
1534899126.4070683,416,0.0
1534899174.620109,419,0.0
1534899266.2066321,425,0.0
1534899279.9389143,426,0.0
1534899293.6778057,427,0.0
1534899327.780901,430,0.0
1534899352.8873658,432,0.0
1534899380.2207072,434,0.0
1534899397.4207056,435,0.0
1534899445.3865516,439,1.0
1534899463.2840981,441,0.0
1534899510.1597474,444,0.0
1534899525.1116295,445,0.0
1534899553.8759816,447,0.0
1534899565.161377,448,0.0
1534899631.3232195,453,0.0
1534899672.5098467,456,1.0
1534899681.473249,457,0.0
1534899737.392822,461,0.0
1534899794.1588392,466,1.0
1534899806.6657383,467,0.0
1534899887.2546375,472,0.0
1534899899.8251925,473,0.0
1534899917.0693452,474,0.0
1534899981.1705244,478,0.0
1534899990.069529,479,0.0
1534900026.4493365,482,0.0
1534900053.879384,484,0.0
1534900105.162868,488,0.0
1534900123.4513018,489,0.0
1534900177.7072473,494,0.0
1534900223.678316,497,0.0
1534900268.2151902,500,0.0
1534900278.3534307,501,1.0
1534900310.0099294,504,0.0
1534900324.8566794,505,0.0
1534900355.793192,507,0.0
1534900401.6559842,510,0.0
1534900439.1635854,513,0.0
1534900457.5358393,514,0.0
1534900468.9940608,515,0.0
1534900507.64145,518,0.0
1534900517.7753484,519,1.0
1534900569.173258,523,0.0
1534900578.056975,524,0.0
1534900594.0848002,525,0.0
1534900604.2888944,526,1.0
1534900672.5555282,531,0.0
1534900684.0081306,532,0.0
1534900721.580937,535,0.0
1534900743.1484962,537,0.0
1534900774.802321,540,1.0
1534900796.3903003,542,1.0
1534900832.0464427,544,0.0
1534900895.750713,549,0.0
1534900912.965592,550,0.0
1534900927.8722153,551,0.0
1534900946.3274236,552,0.0
1534900955.1982586,553,0.0
1534900967.668527,554,0.0
1534901098.9922488,564,0.0
1534901136.4789248,567,0.0
1534901210.813339,572,0.0
1534901231.1134102,574,0.0
1534901282.8359604,577,0.0
1534901292.9935477,578,1.0
1534901321.7341816,580,0.0
1534901340.1744125,581,0.0
1534901411.7189374,587,1.0
1534901439.16389,589,0.0
1534901496.3231492,593,0.0
1534901642.990121,603,0.0
1534901684.2927825,606,0.0
1534901705.9077835,608,0.0
1534901773.921567,612,0.0
1534901812.8668067,615,0.0
1534901827.9232855,616,0.0
1534901925.3322048,623,0.0
1534902003.5899515,628,0.0
1534902012.5332773,629,0.0
1534902142.2206635,638,0.0
1534902227.0564544,644,0.0
1534902235.9869437,645,0.0
1534902307.2712746,650,0.0
1534902336.0089664,652,0.0
1534902391.1993132,656,0.0
1534902422.2535377,658,0.0
1534902448.5752094,660,0.0
1534902461.1151783,661,0.0
1534902503.647026,664,0.0
1534902512.6136398,665,0.0
1534902541.314653,667,0.0
1534902577.2614543,669,0.0
1534902601.196776,671,0.0
1534902616.1502204,672,0.0
1534902722.7875772,680,0.0
1534902753.4040458,683,1.0
1534902784.4905665,685,0.0
1534902850.796746,690,0.0
1534902869.3763268,691,0.0
1534902881.912729,692,0.0
1534902936.8008122,696,0.0
1534902949.348534,697,0.0
1534902992.5033464,701,0.0
1534903051.1810384,705,0.0
1534903060.0836403,706,0.0
1534903091.0574143,708,0.0
1534903187.3552742,715,0.0
1534903276.3855622,722,0.0
1534903303.9075165,724,0.0
1534903322.3861392,725,0.0
1534903337.2532187,726,0.0
1534903354.6102965,727,0.0
1534903367.1595747,728,0.0
1534903460.9211712,735,0.0
1534903496.4032705,738,0.0
1534903536.41185,741,0.0
1534903561.5166085,743,1.0
1534903590.2150645,745,0.0
1534903602.7970278,746,0.0
1534903681.6230285,752,0.0
1534903731.1977832,755,0.0
1534903758.6674736,757,0.0
1534903781.417834,759,0.0
1534903808.8858209,761,1.0
1534903835.0801375,763,0.0
1534903893.1583538,768,0.0
1534903905.7119892,769,0.0
1534903928.4392605,771,0.0
1534903965.3616166,773,0.0
1534904043.4478543,778,0.0
1534904107.4128392,783,0.0
1534904221.4003756,790,0.0
1534904233.9895856,791,0.0
1534904268.0548391,794,0.0
1534904336.8776677,799,0.0
1534904354.137237,800,0.0
1534904467.7646515,810,0.0
1534904480.2958689,811,0.0
